transition,detector_pts,detector_time_s,settled_pts,settled_time_s,pre_centroid_x_camera_px,pre_centroid_y_camera_px,post_centroid_x_camera_px,post_centroid_y_camera_px,raw_delta_x_camera_px,raw_delta_y_camera_px,reference_delta_x_camera_px,reference_delta_y_camera_px,reference_corrected_delta_x_camera_px,reference_corrected_delta_y_camera_px,raw_unrounded_step_x_source_px,raw_unrounded_step_y_source_px,corrected_unrounded_step_x_source_px,corrected_unrounded_step_y_source_px,decoded_step_x_source_px,decoded_step_y_source_px,cumulative_x_source_px,cumulative_y_source_px,raw_rounding_residual_source_px,corrected_rounding_residual_source_px,reference_ecc_correlation,window_frame_count
11,432244,720.4066666666666,432254,720.4233333333333,2129.1549669718793,471.7541592625993,2129.026920338765,481.0898157720298,-0.1280466331140815,9.335656509430521,0.3746199607849121,-0.24078971147537231,-0.5026665938989936,9.576446220905893,-0.0067883480502959285,1.0294595805566529,-0.047835395563484796,1.05697951447442,0,1,-5,6,0.030231582092670517,0.07439684226131986,0.9960987737518461,168
12,468336,780.56,468346,780.5766666666667,2128.8253463708566,480.9330482878074,2119.838700273942,480.60875118452964,-8.986646096914683,-0.32429710327778594,0.32686999440193176,0.19188562035560608,-9.313516091316615,-0.516182723633392,-0.9894396268062888,-0.012330811427923947,-1.0255693119189697,-0.03263172949813438,-1,0,-6,6,0.01623485116844233,0.041456235743841725,0.9970460254602156,168
13,504417,840.695,504417,840.695,2120.1095624760837,480.67097771375506,2119.8617342173634,489.8584583218262,-0.24782825872034664,9.187480608071155,-0.29910925030708313,-0.02185927890241146,0.05128099158673649,9.209339886973567,-0.020089016942859896,1.013437394945104,0.012851900600497027,1.0150676227495492,0,1,-6,7,0.024168826712135223,0.019804156239733833,0.9968264040956116,168
14,540488,900.8133333333334,540498,900.83,2119.9218533387066,489.8195033754736,2110.6371488472523,489.5570450780869,-9.28470449145425,-0.26245829738667226,-0.6644722819328308,0.41231271624565125,-8.620232209521419,-0.6747710136323235,-1.0221993712946884,-0.004737231371912339,-0.949381684416308,-0.05192051391335002,-1,0,-7,7,0.022699194852471443,0.07251174827265311,0.9966854026562073,168
15,576579,960.965,576589,960.9816666666667,2110.8384910069094,489.3594095422869,2101.52514700246,498.2532655574377,-9.313344004449391,8.893856015150789,-0.1525833010673523,-0.31935977935791016,-9.160760703382039,9.213215794508699,-1.018186047109783,1.004693327382268,-1.0011408350277666,1.0395006692866189,-1,1,-8,8,0.01878189637380617,0.03951714031469655,0.9972002361433764,167
16,612651,1021.085,612661,1021.1016666666667,2101.7089419228532,498.0875331992443,2092.4532827214853,507.0166742948941,-9.255659201367962,8.929141095649754,0.23472414910793304,-0.25013086199760437,-9.490383350475895,9.179271957647359,-1.011808901696169,1.0084326937024906,-1.0374499068099299,1.036617802807054,-1,1,-9,9,0.01451070233826776,0.052377084707806415,0.9961805398847833,167
17,648732,1081.22,648742,1081.2366666666667,2092.3096767994903,506.98419047978757,2083.2010455368954,515.7596792214756,-9.108631262594827,8.775488741688036,-0.12700790166854858,-0.08988241106271744,-8.981623360926278,8.865371152750754,-0.9957453648485773,0.9911115229981532,-0.9816948997371266,1.0006888334225832,-1,1,-10,10,0.00985428554914464,0.018318056313864572,0.9968089266859095,168
18,684823,1141.3716666666667,684823,1141.3716666666667,2083.0893163467936,515.7373450117178,2073.9026975986794,524.6030910252055,-9.186618748114142,8.865746013487637,-0.1110573336482048,0.26338091492652893,-9.075561414465938,8.602365098561108,-1.0042590347715354,1.0012643567917179,-0.9922407591587514,0.971940879180595,-1,1,-11,11,0.004442744116186648,0.029112198123646828,0.9967667712600191,168
19,720895,1201.4916666666666,720905,1201.5083333333334,2074.0180881911047,524.5097461629093,2064.876005784573,533.718064369044,-9.1420824065317,9.208318206134663,-0.10094557702541351,0.5171971321105957,-9.041136829506286,8.691121074024068,-0.9990886943538719,1.0389121044656127,-0.9883820859882487,0.9816352798880144,-1,1,-12,12,0.03892277420641311,0.021731057746368826,0.9967277088803211,168
20,756976,1261.6266666666668,756986,1261.6433333333334,2064.915998224683,533.7207438821489,2055.554676780659,542.5610569621704,-9.361321444023815,8.840313080021474,1.2923816442489624,-2.2874183654785156,-10.653703088272778,11.12773144549999,-1.0235089639146249,0.9989159907300718,-1.1639749667134927,1.2544397916015988,-1,1,-13,13,0.023533942730371904,0.30270017717034137,0.9931615690391051,168
